freq,psd_x,psd_y,psd_z,psd_xyz
160.6,7.089e+02,1.304e+03,8.965e+02,2.909e+03
162.2,7.341e+02,1.337e+03,1.208e+03,3.279e+03
163.8,9.275e+02,1.533e+03,1.808e+03,4.268e+03
165.4,9.948e+02,1.756e+03,2.082e+03,4.833e+03
166.9,1.073e+03,1.981e+03,2.133e+03,5.187e+03
168.5,1.669e+03,2.818e+03,3.591e+03,8.078e+03
170.1,2.444e+03,3.797e+03,6.060e+03,1.230e+04
171.7,2.069e+03,3.321e+03,4.860e+03,1.025e+04
173.3,2.054e+03,3.620e+03,4.987e+03,1.066e+04
174.9,2.484e+03,4.490e+03,5.924e+03,1.290e+04
176.5,2.926e+03,5.270e+03,6.472e+03,1.467e+04
178.1,3.195e+03,5.794e+03,6.925e+03,1.592e+04
179.7,2.885e+03,5.117e+03,6.945e+03,1.495e+04
181.3,3.353e+03,5.801e+03,8.423e+03,1.758e+04
182.8,4.693e+03,8.651e+03,1.063e+04,2.397e+04
184.4,5.566e+03,1.089e+04,1.169e+04,2.815e+04
186.0,5.860e+03,1.204e+04,1.215e+04,3.004e+04
187.6,5.585e+03,1.188e+04,1.212e+04,2.958e+04
189.2,4.781e+03,1.072e+04,1.147e+04,2.697e+04
190.8,3.826e+03,8.912e+03,9.853e+03,2.259e+04
192.4,3.529e+03,8.459e+03,8.798e+03,2.079e+04
194.0,4.039e+03,1.013e+04,9.584e+03,2.375e+04
195.6,3.973e+03,1.089e+04,1.021e+04,2.507e+04
197.2,3.283e+03,9.638e+03,1.008e+04,2.300e+04
198.7,3.416e+03,9.594e+03,9.407e+03,2.242e+04
